Reference,Year,Country,Scale of analysis,Model type,Aims,Category: explain observed patterns,Category: estimate key parameters,Category: study control measures,Category: identify drivers of dynamics,Category: predict future trends,Reported rabies data,Data description,Fit to rabies data,Observation/Underreporting,Introductions,Heterogeneity in transmission,Density-dependent transmission,Stochastic,Spatial,Reference,Notes
{Zhang:2011ec},2011,China,National,Deterministic ODE,Modeling the impact of dog culling vs. vaccination on rabies incidence in China,N,N,Y,N,N,Y,14 years of monthly reported human rabies cases in China,N,N,N,N,Y,N,N,"Zhang, Juan, Zhen Jin, Gui-Quan Sun, Tao Zhou, et al. “Analysis of Rabies in China: Transmission Dynamics and Control.” Ed. Pere-Joan Cardona. PLoS ONE 6.7 (2011): e20891. Web.",Eyeball fitting
{BHUNU:2011ca},2011,Hypothetical,Hypothetical,Deterministic ODE,"Compared  dog vaccination, culling, and human pre- and post-exposure prophylaxis for controlling rabies incidence",N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"BHUNU, C P. “Impact of Culling Stray Dogs and Vaccination on the Control of Human Rabies: a Mathematical Modeling Approach.” International Journal of Biomathematics 04.04 (2011): 379–397. Web.",
{Zhang:2012vb},2012,China,National,Deterministic reaction-diffusion ODE,Examining how dog movement drives spatial spread of rabies in China,Y,N,N,N,N,N,,N,N,,N,Y,N,Y,"Zhang, J, Z Jin, G Q Sun, and X Sun. “Spatial Spread of Rabies in China.” Journal of Applied Analysis and Computation (2012): n. pag. Print.",
{Fitzpatrick:2012kp},2012,Tanzania,Sub-national,Next-generation matrix model to estimate transmission parameters,Estimating within species and cross-species transmission and thresholds of control,N,Y,N,N,N,Y,"4 years of contact tracing data from the Serengeti and Ngorongoro District, TZ",Y,N,N,N,NA,Y,NA,"Fitzpatrick, Meagan C, Katie Hampson, Sarah Cleaveland, Lauren Ancel Meyers, et al. “Potential for Rabies Control Through Dog Vaccination in Wildlife-Abundant Communities of Tanzania.” Ed. Richard Reithinger. PLoS Neglected Tropical Diseases 6.8 (2012): e1796–6. Web.",
{Hou:2012fv},2012,China,Sub-national,Deterministic ODE,Estimated R0 by (eyeball) fitting to data on human reported deaths and compared the impact of dog vaccination and culling on reducing these deaths,N,Y,Y,N,N,Y,"4 years of monthly reported human rabies cases in Guangdong Province, China",N,N,N,N,Y,N,N,"Hou, Qiang, Zhen Jin, and Shigui Ruan. “Dynamics of Rabies Epidemics and the Impact of Control Efforts in Guangdong Province, China.” Journal of Theoretical Biology 300.C (2012): 39–47. Web.",Eyeball fitting
{Beyer:2012ge},2012,Tanzania,Sub-national,Metapopulation patch occupancy,Compared impact of dog vaccine allocation strategies at the village level on rabies incidence,N,Y,Y,N,N,,6 years of monthly bite data from the Serengeti District,Y,Y,Y,N,Y,Y,Y,"Beyer, Hawthorne L, Katie Hampson, Tiziana Lembo, Sarah Cleaveland, Magai Kaare, and Daniel T Haydon. “The Implications of Metapopulation Dynamics on the Design of Vaccination Campaigns.” Vaccine 30.6 (2012): 1014–1022. Web.",
{Zhang:2012fn},2012,China,National,Deterministic ODE,"Estimated seasonal transmission rates using data on reported human deaths in China and examined the impact of dog vaccination, reducing dog birth rates, culling, and PEP on R0",Y,N,Y,N,N,Y,"6 years of monthly reported human rabies cases in Guangdong Province, China",N,N,N,N,Y,N,N,"Zhang, Juan, Zhen Jin, Gui-Quan Sun, Xiang-Dong Sun, et al. “Modeling Seasonal Rabies Epidemics in China.” Bulletin of Mathematical Biology 74.5 (2012): 1226–1251. Web.",Eyeball fitting
{Townsend:2013hm},2013,Indonesia,Sub-national,Stochastic spatial IBM,Estimated R0 from initial epidemic growth; used model to examine the impact of current and future vaccination campaigns on probability of eliminating canine rabies from Bali,Y,N,Y,N,N,Y,1 year of monthly laboratory confirmed case data during outbreak in Bali,Y,Y,N,Y,N,Y,Y,"Townsend, Sunny E, Tiziana Lembo, et al. “Surveillance Guidelines for Disease Elimination: a Case Study of Canine Rabies.” “Comparative Immunology, Microbiology and Infectious Diseases” 36.3 (2013): 249–261. Web.",Island setting; modeled human mediated long distance movements but no external introductions;
{Townsend:2013bc},2013,Hypothetical,Hypothetical,Stochastic spatial IBM,Outbreak simulation to estimate current case detection and to look at how probability of detection affects disease spread and control,N,N,Y,N,N,N,,N,Y,N,Y,N,Y,Y,"Townsend, Sunny E, I Putu Sumantra, et al. “Designing Programs for Eliminating Canine Rabies From Islands: Bali, Indonesia as a Case Study..” Ed. Charles E Rupprecht. PLoS Neglected Tropical Diseases 7.8 (2013): e2372. Web.",Island setting; modeled human mediated long distance movements but no external introductions;
{Mollentze:2014bz},2014,South Africa,National,Bayesian phylodynamic model,Reconstructing transmission trees from epidemiological and genetic data incorporating unobserved cases,Y,Y,N,N,N,,1 year of spatiotemporal and genetic data on laboratory confirmed animal rabies cases in Kwa Zulu Natal,Y,Y,Y,Y,NA,Y,Y,"Mollentze, Nardus et al. “A Bayesian Approach for Inferring the Dynamics of Partially Observed Endemic Infectious Diseases From Space-Time-Genetic Data..” Proceedings. Biological sciences / The Royal Society 281.1782 (2014): 20133251–20133251. Web.",
{Fitzpatrick:2014fq},2014,Tanzania,Sub-national,Deterministic ODE,Modeling the cost-effectiveness of mass dog vaccination ,N,N,Y,N,N,Y,"4 years of contact tracing data from the Serengeti and Ngorongoro District, TZ",Y,N,N,N,Y,N,N,"Fitzpatrick, Meagan C, Katie Hampson, Sarah Cleaveland, Imam Mzimbiri, et al. “Cost-Effectiveness of Canine Vaccination to Prevent Human Rabies in Rural Tanzania..” Annals of internal medicine 160.2 (2014): 91–100. Web.",
{Ferguson:2015cc},2015,Philippines,Sub-national,Stochastic spatial IBM,Examining the impact of human-mediated dog movement and spatial heterogeneity in coverage on the probability of rabies elimination,N,N,Y,N,N,N,,N,N,N,Y,N,Y,Y,"Ferguson, Elaine A et al. “Heterogeneity in the Spread and Control of Infectious Disease: Consequences for the Elimination of Canine Rabies.” Nature Publishing Group 5.1 (2015): 1–13. Web.",Island setting; modeled human mediated long distance movements but no external introductions;
{Durr:2015gh},2015,Australia,Local,Stochastic spatial IBM,Examining how an introduction of canine rabies to a naïve population could result in rabies spread,N,N,N,Y,N,N,,N,N,N,Y,N,Y,Y,"Dürr, Salome, and Michael P Ward. “Development of a Novel Rabies Simulation Model for Application in a Non-Endemic Environment.” Ed. Jakob Zinsstag. PLoS Neglected Tropical Diseases 9.6 (2015): e0003876–22. Web.",
{Wiraningsih:2015fq},2015,Hypothetical,Hypothetical,Deterministic ODE,Simulating and analytically calculating the disease-free equilibrium in coupled domestic dog-wildlife-human populations,N,N,N,Y,N,N,,N,N,N,N,Y,N,N,"Wiraningsih, E D et al. Stability Analysis of Rabies Model with Vaccination and Culling Effect on Dogs. Applied Mathematical …, 2015. Web.",
{Chen:2015fb},2015,China,Sub-national,Deterministic ODE,Two-patch models to look at transmission between coupled provinces in China,N,N,N,Y,N,Y,8 years of monthly reported human rabies cases in six provinces in China,N,N,Y,N,Y,N,Y,"Chen, Jing et al. “Modeling the Geographic Spread of Rabies in China.” Ed. Charles E Rupprecht. PLoS Neglected Tropical Diseases 9.5 (2015): e0003772–18. Web.",Eyeball fitting
{Bourhy:2016hj},2016,Central African Republic,Sub-national,Stochastic time-varying transmission model,Estimated Rt and incursions using combined phylogenetic and epidemiological modeling,Y,Y,N,N,N,Y,"12 years of weekly number of laboratory confirmed case data and corresponding sequences from Bangui, CAR",Y,Y,Y,Y,N,Y,N,"Bourhy, Hervé et al. “Revealing the Micro-Scale Signature of Endemic Zoonotic Disease Transmission in an African Urban Setting.” Ed. Colin Parrish. PLoS Pathogens 12.4 (2016): e1005525–15. Web.",
{Fitzpatrick:2016fo},2016,India,Sub-national,Deterministic ODE,Modeling the effectiveness and cost effectiveness of canine vaccination and sterilization on human health outcomes ,N,N,Y,N,N,Y,"2 years of annual reported human cases in Tamil Nadu, India",Y,Y,N,N,N,N,N,"Fitzpatrick, Meagan C, Hiral A Shah, et al. “One Health Approach to Cost-Effective Rabies Control in India.” Proceedings of the National Academy of Sciences 113.51 (2016): 14574–14581. Web.",
{Wera:2016jm},2016,Indonesia,Local,Deterministic discrete-time DE (difference equations),Cost-effectiveness ofdifferent mass dog vaccination to control canine rabies incidence,N,N,Y,N,N,N,,N,N,N,N,N,N,N,"Wera, E et al. “Cost-Effectiveness of Mass Dog Vaccination Campaigns Against Rabies in Flores Island, Indonesia.” Transboundary and Emerging Diseases 64.6 (2016): 1918–1928. Web.",
{Bilinski:2016df},2016,Tanzania,Sub-national,Deterministic ODE,Comparing cost-effectiveness of dog vaccination campaigns of varying coverage and frequency,N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"Bilinski, Alyssa M et al. “Optimal Frequency of Rabies Vaccination Campaigns in Sub-Saharan Africa..” Proceedings. Biological sciences / The Royal Society 283.1842 (2016): 20161211–9. Web.",
{Sparkes:2016ds},2016,Australia,Sub-national,Stochastic ODE,Looked at how contact rates between and within free-roaming domestic dogs and wild dog populations as well as human responses would impact spread and control of rabies after an incursion into a naïve population,N,N,N,Y,N,N,,N,N,N,N,N,Y,N,"Sparkes, Jessica et al. “Rabies Disease Dynamics in Naïve Dog Populations in Australia..” Preventive Veterinary Medicine 131 (2016): 127–136. Web.",
{Chapwanya:2016cl},2016,Hypothetical,Hypothetical,Deterministic ODE,Simulating and analytically calculating the disease-free equilibrium in domestic dog populations,N,N,N,Y,N,N,,N,N,N,N,Y,N,N,"Chapwanya, M, J M S Lubuma, and Y A Terefe. “Analysis and Dynamically Consistent Nonstandard Discretization for a Rabies Model in Humans and Dogs.” Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas 110.2 (2016): 783–798. Web.",
{Tohma:2016et},2016,Philippines,Sub-national,Deterministic ODE,Modeling to estimate the time lag to detection after an incursion; Used phylogeographic methods to identify inter-island transmission,Y,N,N,N,N,Y,"9 years of monthly laboratory confirmed case data from Tablas Island and 266 sequences from eight regions in the Luzon Island group, Phillipines",N,Y,Y,N,Y,N,N,"Tohma, Kentaro et al. “Molecular and Mathematical Modeling Analyses of Inter-Island Transmission of Rabies Into a Previously Rabies-Free Island in the Philippines.” INFECTION, GENETICS AND EVOLUTION 38.C (2016): 22–28. Web.",Island settings with inter-island transmission
{Kurosawa:2017cj},2017,Japan,Sub-national,ML estimation of R0 from epidemic curve,Estimation of R0 and incubation period from historical dog rabies incidence data,N,Y,N,N,N,Y,"59 years of annual number of suspected and confirmed animal and human rabies cases in Osaka Prefecture, Japan",Y,N,N,N,NA,N,NA,"Kurosawa, Aiko et al. “The Rise and Fall of Rabies in Japan: a Quantitative History of Rabies Epidemics in Osaka Prefecture, 1914–1933.” Ed. Charles E Rupprecht. PLoS Neglected Tropical Diseases 11.3 (2017): e0005435–19. Web.",
{Leung:2017bq},2017,Hypothetical,Hypothetical,Deterministic ODE,Comparing vaccination and population control targets for stray vs. owned dogs,N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"Leung, Tiffany, and Stephen A Davis. “Rabies Vaccination Targets for Stray Dog Populations.” Frontiers in veterinary science 4.5 (2017): e0003786–10. Web.",
{Liu:2017dk},2017,China,National,Two-patch deterministic ODE,Comparing dog culling and immunization alone and in combination of controlling rabies incidence in a two-patch modeling framework,N,N,Y,N,N,N,,N,N,Y,N,Y,N,Y,"Liu, Junli, Ying Jia, and Tailei Zhang. “Analysis of a Rabies Transmission Model with Population Dispersal.” Nonlinear Analysis: Real World Applications 35 (2017): 1–22. Web.",
{Asamoah:2017be},2017,Hypothetical,Hypothetical,Deterministic ODE,Comparing dog vaccination vs. human post- and pre-exposure prophylaxis on eliminating human deaths due to rabies,N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"Asamoah, Joshua Kiddy K et al. “Modelling of Rabies Transmission Dynamics Using Optimal Control Analysis.” Journal of Applied Mathematics 2017.12 (2017): 1–23. Web.",
{MengistuTulu:2017fg},2017,Hypothetical,Hypothetical,Deterministic ODE,Analytical and numerical simulations to examine the impact of infective immigrants on rabies spread and control,N,N,Y,Y,N,N,,N,N,Y,N,N,N,N,"Mengistu Tulu, Aberu. “The Impact of Infective Immigrants on the Spread of Dog Rabies.” American Journal of Applied Mathematics 5.3 (2017): 68–10. Web.",
{Zinsstag:2017gn},2017,Chad,Sub-national ,Deterministic and Stochastic ODE,Modeling the impact of dog vaccination campaigns on observed incidence of rabies,Y,N,Y,N,N,Y,5 years of cumulative incidence data of laboratory confirmed animal cases and associated human exposures; 29 sequences generated from this same period;,Y,N,Y,N,Y,N,N,"Zinsstag, Jakob, Monique Léchenne, et al. “Vaccination of Dogs in an African City Interrupts Rabies Transmission and Reduces Human Exposure..” Science translational medicine 9.421 (2017): eaaf6984. Web.",
{Cori:2018fn},2018,Central African Republic,Local,Graph-based transmission tree reconstruction,Estimated R_eff and identified incursions across this period using transmission tree reconstruction  using spatiotemporal and genetic data,N,Y,N,N,N,Y,"11 years of spatiotemporal and genetic data on cases detected through laboratory surveillance in the city of Bangui, CAR",Y,Y,Y,Y,NA,Y,Y,"Cori, Anne et al. “A Graph-Based Evidence Synthesis Approach to Detecting Outbreak Clusters: an Application to Dog Rabies.” Ed. Mercedes Pascual. PLoS computational biology 14.12 (2018): e1006554–22. Web.",
{Huang:2018iz},2018,China,Sub-national,Deterministic ODE,Exploring multihost transmission in chinese ferret badgers and dogs and impilications for human rabies exposures,N,N,N,Y,N,Y,"14 years time series of number of  human rabies deaths Zhejiang Province, China",N,N,N,N,Y,N,N,"Huang, Jicai et al. “Modeling the Transmission Dynamics of Rabies for Dog, Chinese Ferret Badger and Human Interactions in Zhejiang Province, China.” Bulletin of Mathematical Biology 81.4 (2018): 939–962. Web.",Eyeball fitting
{Hampson:2018ek},2018,Multiple (global),National,Stochastic spatial IBM,Modeling to extrapolate current and projected national incidence of human rabies exposures to examine the cost-effectiveness of expanded PEP provisioning,N,N,Y,N,Y,Y,15 year time series of rabies incidence ,Y,N,Y,Y,N,Y,Y,"Hampson, Katie, Francesco Ventura, et al. “The Potential Effect of Improved Provision of Rabies Post-Exposure Prophylaxis in Gavi-Eligible Countries: a Modelling Study.” The Lancet. Infectious diseases 19.1 (2018): 102–111. Web.",
{Tian:2018fe},2018,China,Regional,Deterministic ODE,Estimating key transmission parameters (dog-to-dog and dog-to-human) from incidence data,N,Y,N,N,N,Y,16 years of reported human cases from the Yunan province,Y,N,N,N,Y,N,N,"Tian, Huaiyu et al. “Transmission Dynamics of Re-Emerging Rabies in Domestic Dogs of Rural China.” Ed. Matthias Johannes Schnell. PLoS Pathogens 14.12 (2018): e1007392–18. Web.",
{Borse:2018ji},2018,Multiple (Africa),National,Deterministic ODE,Integrating a transmission and economic model to estimate the cost-effectiveness of mass dog vaccination in East Africa,N,N,Y,N,N,N,,N,N,N,N,Y,N,N,"Borse, Rebekah H et al. “Cost-Effectiveness of Dog Rabies Vaccination Programs in East Africa.” Ed. Jakob Zinsstag. PLoS Neglected Tropical Diseases 12.5 (2018): e0006490–21. Web.",
{Kadowaki:2018ge},2018,Japan,Sub-national,Stochastic spatial IBM,Assessing the risk of rabies outbreak into a naïve population,N,N,N,Y,N,N,,N,N,N,Y,N,Y,Y,"Kadowaki, H et al. “The Risk of Rabies Spread in Japan: a Mathematical Modelling Assessment.” Epidemiology and Infection 146.10 (2018): 1245–1252. Web.",
{Laager:2018cv},2018,Chad,Sub-national,Stochastic network IBM,Exploring the impact of targeted dog vaccination strategies ,N,N,Y,N,N,Y,5 years of cumulative incidence data of laboratory confirmed animal cases and associated human exposures,Y,N,N,Y,NA,Y,Y,"Laager, Mirjam, Céline Mbilo, et al. “The Importance of Dog Population Contact Network Structures in Rabies Transmission.” Ed. Charles E Rupprecht. PLoS Neglected Tropical Diseases 12.8 (2018): e0006680. Web.",
{Hudson:2019ef},2019,Australia,Local,Stochastic spatial IBM,Exploring how different roaming behavior of domestic dogs impacts invasion in a rabies-free area of Australia,N,N,N,Y,N,N,,N,N,N,Y,N,Y,Y,"Hudson, Emily G et al. “Using Roaming Behaviours of Dogs to Estimate Contact Rates: the Predicted Effect on Rabies Spread.” Epidemiology and Infection 147 (2019): e135. Web.",
{Anderson:2019kp},2019,South Africa,Local,Stochastic nonspatial IBM,"A bioeconomic model to examine the impacts of vaccination, sterilization and other management scenarios on dog rabies incidence ",N,N,Y,N,N,N,,N,N,N,Y,N,Y,N,"Anderson, Aaron et al. “A Bioeconomic Model for the Optimization of Local Canine Rabies Control.” Ed. Monique Léchenne. PLoS Neglected Tropical Diseases 13.5 (2019): e0007377–24. Web.",
{Laager:2019bi},2019,Chad,Sub-national,Deterministic metapopulation ODE,Explaining resurgence of canine rabies after vaccination campaign,Y,N,N,N,N,Y,5 years of cumulative incidence data of laboratory confirmed animal cases and associated human exposures,Y,Y,Y,N,Y,N,Y,"Laager, Mirjam, Monique Léchenne, et al. “A Metapopulation Model of Dog Rabies Transmission in N•Djamena, Chad.” Journal of Theoretical Biology 462 (2019): 408–417. Web.",
{WilsonAggarwal:2019cy},2019,Chad,Local,Stochastic network IBM,Exploring the impact of contact heterogeneity on rabies outbreak risk and size in an empirical domestic dog network,N,N,N,Y,N,N,,N,N,N,Y,NA,Y,N,"Wilson-Aggarwal, Jared K et al. “High-Resolution Contact Networks of Free-Ranging Domestic Dogs Canis Familiaris and Implications for Transmission of Infection.” Ed. Sergio Recuenco. PLoS Neglected Tropical Diseases 13.7 (2019): e0007565. Web.",
