Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Using roaming behaviours of dogs to estimate contact rates: the predicted effect on rabies spread.,/pubmed/30869048,"Hudson EG, Brookes VJ, Ward MP, DÃ_rr S.",Epidemiol Infect. 2019 Jan;147:e135. doi: 10.1017/S0950268819000189.,Epidemiol Infect.  2019,PubMed,citation,PMID:30869048 | PMCID:PMC6518777,pubmed,30869048,create date:2019/03/15 | first author:Hudson EG
A graph-based evidence synthesis approach to detecting outbreak clusters: An application to dog rabies.,/pubmed/30557340,"Cori A, Nouvellet P, Garske T, Bourhy H, NakounÃ© E, Jombart T.",PLoS Comput Biol. 2018 Dec 17;14(12):e1006554. doi: 10.1371/journal.pcbi.1006554. eCollection 2018 Dec.,PLoS Comput Biol.  2018,PubMed,citation,PMID:30557340 | PMCID:PMC6312344,pubmed,30557340,create date:2018/12/18 | first author:Cori A
Benefit-cost analysis of the policy of mandatory annual rabies vaccination of domestic dogs in rabies-free Japan.,/pubmed/30557398,"Kwan NCL, Yamada A, Sugiura K.",PLoS One. 2018 Dec 17;13(12):e0206717. doi: 10.1371/journal.pone.0206717. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30557398 | PMCID:PMC6296744,pubmed,30557398,create date:2018/12/18 | first author:Kwan NCL
Cost-effectiveness modelling studies of all preventive measures against rabies: A systematic review.,/pubmed/30554795,"Anothaisintawee T, Julienne Genuino A, Thavorncharoensap M, Youngkong S, Rattanavipapong W, Meeyai A, Chaikledkaew U.",Vaccine. 2018 Dec 13. pii: S0264-410X(18)31634-7. doi: 10.1016/j.vaccine.2018.11.071. [Epub ahead of print] Review.,Vaccine.  2018,PubMed,citation,PMID:30554795,pubmed,30554795,create date:2018/12/18 | first author:Anothaisintawee T
Transmission dynamics of re-emerging rabies in domestic dogs of rural China.,/pubmed/30521641,"Tian H, Feng Y, Vrancken B, Cazelles B, Tan H, Gill MS, Yang Q, Li Y, Yang W, Zhang Y, Zhang Y, Lemey P, Pybus OG, Stenseth NC, Zhang H, Dellicour S.",PLoS Pathog. 2018 Dec 6;14(12):e1007392. doi: 10.1371/journal.ppat.1007392. eCollection 2018 Dec.,PLoS Pathog.  2018,PubMed,citation,PMID:30521641 | PMCID:PMC6283347,pubmed,30521641,create date:2018/12/07 | first author:Tian H
The impact of transmission dynamics of rabies control: Systematic review.,/pubmed/30528329,"Rattanavipapong W, Thavorncharoensap M, Youngkong S, Genuino AJ, Anothaisintawee T, Chaikledkaew U, Meeyai A.",Vaccine. 2018 Dec 5. pii: S0264-410X(18)31558-5. doi: 10.1016/j.vaccine.2018.11.035. [Epub ahead of print],Vaccine.  2018,PubMed,citation,PMID:30528329,pubmed,30528329,create date:2018/12/12 | first author:Rattanavipapong W
"Rabies in Alaska, from the past to an uncertain future.",/pubmed/29764319,"Hueffer K, Murphy M.",Int J Circumpolar Health. 2018 Dec;77(1):1475185. doi: 10.1080/22423982.2018.1475185. Review.,Int J Circumpolar Health.  2018,PubMed,citation,PMID:29764319,pubmed,29764319,create date:2018/05/17 | first author:Hueffer K
"Exposure history, post-exposure prophylaxis use, and clinical characteristics of human rabies cases in China, 2006-2012.",/pubmed/30464190,"Guo C, Li Y, Huai Y, Rao CY, Lai S, Mu D, Yin W, Yu H, Nie S.",Sci Rep. 2018 Nov 21;8(1):17188. doi: 10.1038/s41598-018-35158-0.,Sci Rep.  2018,PubMed,citation,PMID:30464190 | PMCID:PMC6249250,pubmed,30464190,create date:2018/11/23 | first author:Guo C
"Intradermal rabies post-exposure prophylaxis can be abridged with no measurable impact on clinical outcome in Cambodia, 2003-2014.",/pubmed/30454946,"Tarantola A, Ly S, Chan M, In S, Peng Y, Hing C, Taing CN, Phoen C, Ly S, Cauchemez S, Buchy P, Dussart P, Bourhy H, Mary JY.",Vaccine. 2018 Nov 16. pii: S0264-410X(18)31420-8. doi: 10.1016/j.vaccine.2018.10.054. [Epub ahead of print],Vaccine.  2018,PubMed,citation,PMID:30454946,pubmed,30454946,create date:2018/11/21 | first author:Tarantola A
A CpG oligodeoxynucleotide enhances the immune response to rabies vaccination in mice.,/pubmed/30424815,"Yu P, Yan J, Wu W, Tao X, Lu X, Liu S, Zhu W.",Virol J. 2018 Nov 13;15(1):174. doi: 10.1186/s12985-018-1089-1.,Virol J.  2018,PubMed,citation,PMID:30424815 | PMCID:PMC6234694,pubmed,30424815,create date:2018/11/15 | first author:Yu P
System dynamics modelling approach to explore the effect of dog demography on rabies vaccination coverage in Africa.,/pubmed/30359399,Chidumayo NN.,PLoS One. 2018 Oct 25;13(10):e0205884. doi: 10.1371/journal.pone.0205884. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30359399 | PMCID:PMC6201891,pubmed,30359399,create date:2018/10/26 | first author:Chidumayo NN
Estimating the Size of Dog Populations in Tanzania to Inform Rabies Control.,/pubmed/30205470,"Sambo M, Hampson K, Changalucha J, Cleaveland S, Lembo T, Lushasi K, Mbunda E, Mtema Z, Sikana L, Johnson PCD.",Vet Sci. 2018 Sep 7;5(3). pii: E77. doi: 10.3390/vetsci5030077.,Vet Sci.  2018,PubMed,citation,PMID:30205470 | PMCID:PMC6164483,pubmed,30205470,create date:2018/09/13 | first author:Sambo M
Socio-economic factors associated with voluntary rabies control measures in Vietnam.,/pubmed/30086838,"Kadowaki H, Duc PP, Sato K, Phuong PTM, Hagiwara K, Makita K.",Prev Vet Med. 2018 Sep 1;157:105-114. doi: 10.1016/j.prevetmed.2018.06.006. Epub 2018 Jun 21.,Prev Vet Med.  2018,PubMed,citation,PMID:30086838,pubmed,30086838,create date:2018/08/09 | first author:Kadowaki H
Multiplex Detection of Five Canine Viral Pathogens for Dogs as Laboratory Animals by the Luminex xTAG Assay.,/pubmed/30174654,"Wu M, Cong F, Zhu Y, Lian Y, Chen M, Huang R, Guo P.",Front Microbiol. 2018 Aug 17;9:1783. doi: 10.3389/fmicb.2018.01783. eCollection 2018.,Front Microbiol.  2018,PubMed,citation,PMID:30174654 | PMCID:PMC6107692,pubmed,30174654,create date:2018/09/04 | first author:Wu M
Spatiotemporal analysis of canine rabies in El Salvador: Violence and poverty as social factors of canine rabies.,/pubmed/30118490,"Arias-Orozco P, BÃ¡stida-GonzÃ¡lez F, Cruz L, Villatoro J, Espinoza E, ZÃ¡rate-Segura PB, Recuenco S.",PLoS One. 2018 Aug 17;13(8):e0201305. doi: 10.1371/journal.pone.0201305. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:30118490 | PMCID:PMC6097665,pubmed,30118490,create date:2018/08/18 | first author:Arias-Orozco P
The importance of dog population contact network structures in rabies transmission.,/pubmed/30067733,"Laager M, Mbilo C, Madaye EA, Naminou A, LÃ©chenne M, Tschopp A, NaÃ¯ssengar SK, Smieszek T, Zinsstag J, Chitnis N.",PLoS Negl Trop Dis. 2018 Aug 1;12(8):e0006680. doi: 10.1371/journal.pntd.0006680. eCollection 2018 Aug.,PLoS Negl Trop Dis.  2018,PubMed,citation,PMID:30067733 | PMCID:PMC6089439,pubmed,30067733,create date:2018/08/02 | first author:Laager M
"Rabies control in North America - past, present and future.",/pubmed/30747137,Fehlner-Gardiner C.,Rev Sci Tech. 2018 Aug;37(2):421-437. doi: 10.20506/rst.37.2.2812.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747137,pubmed,30747137,create date:2019/02/13 | first author:Fehlner-Gardiner C
Vaccine banks for controlling dog-mediated rabies.,/pubmed/30747130,"Mace J, Renaudin S, Dieuzy-Labaye I, Dehove A.",Rev Sci Tech. 2018 Aug;37(2):511-518. doi: 10.20506/rst.37.2.2819.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747130,pubmed,30747130,create date:2019/02/13 | first author:Mace J
The role of modelling in predicting rabies and understanding the impact of control measures.,/pubmed/30747126,Smith GC.,Rev Sci Tech. 2018 Aug;37(2):551-557. doi: 10.20506/rst.37.2.2823.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747126,pubmed,30747126,create date:2019/02/13 | first author:Smith GC
Elimination of dog-mediated human rabies: the burden of human rabies in Africa.,/pubmed/30747122,"Le Roux K, Kotze J, Perrett K.",Rev Sci Tech. 2018 Aug;37(2):607-615. doi: 10.20506/rst.37.2.2827.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747122,pubmed,30747122,create date:2019/02/13 | first author:Le Roux K
Canine rabies elimination: governance principles.,/pubmed/30747115,"Vigilato MAN, Molina-Flores B, Del Rio Vilas VJ, Pompei JC, Cosivi O.",Rev Sci Tech. 2018 Aug;37(2):703-709. doi: 10.20506/rst.37.2.2859.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747115,pubmed,30747115,create date:2019/02/13 | first author:Vigilato MAN
Global rabies control: the role of international organisations and the Global Strategic Plan to eliminate dog-mediated human rabies.,/pubmed/30747112,"Abela-Ridder B, Balogh de K, Kessels JA, Dieuzy-Labaye I, Torres G.",Rev Sci Tech. 2018 Aug;37(2):741-749. doi: 10.20506/rst.37.2.2837.,Rev Sci Tech.  2018,PubMed,citation,PMID:30747112,pubmed,30747112,create date:2019/02/13 | first author:Abela-Ridder B
Understanding Factors Influencing Dog Owners' Intention to Vaccinate Against Rabies Evaluated Using Health Belief Model Constructs.,/pubmed/30050912,"Beyene TJ, Mindaye B, Leta S, Cernicchiaro N, Revie CW.",Front Vet Sci. 2018 Jul 11;5:159. doi: 10.3389/fvets.2018.00159. eCollection 2018.,Front Vet Sci.  2018,PubMed,citation,PMID:30050912 | PMCID:PMC6050386,pubmed,30050912,create date:2018/07/28 | first author:Beyene TJ
The risk of rabies spread in Japan: a mathematical modelling assessment.,/pubmed/29781416,"Kadowaki H, Hampson K, Tojinbara K, Yamada A, Makita K.",Epidemiol Infect. 2018 Jul;146(10):1245-1252. doi: 10.1017/S0950268818001267. Epub 2018 May 21.,Epidemiol Infect.  2018,PubMed,citation,PMID:29781416 | PMCID:PMC6533641,pubmed,29781416,create date:2018/05/22 | first author:Kadowaki H
"Modeling the effect of surgical sterilization on owned dog population size in Villa de Tezontepec, Hidalgo, Mexico, using an individual-based computer simulation model.",/pubmed/29856830,"Kisiel LM, Jones-Bitton A, Sargeant JM, Coe JB, Flockhart DTT, Canales Vargas EJ, Greer AL.",PLoS One. 2018 Jun 1;13(6):e0198209. doi: 10.1371/journal.pone.0198209. eCollection 2018.,PLoS One.  2018,PubMed,citation,PMID:29856830 | PMCID:PMC5983437,pubmed,29856830,create date:2018/06/02 | first author:Kisiel LM
Cost-effectiveness of dog rabies vaccination programs in East Africa.,/pubmed/29791440,"Borse RH, Atkins CY, Gambhir M, Undurraga EA, Blanton JD, Kahn EB, Dyer JL, Rupprecht CE, Meltzer MI.",PLoS Negl Trop Dis. 2018 May 23;12(5):e0006490. doi: 10.1371/journal.pntd.0006490. eCollection 2018 May.,PLoS Negl Trop Dis.  2018,PubMed,citation,PMID:29791440 | PMCID:PMC5988334,pubmed,29791440,create date:2018/05/24 | first author:Borse RH
The preclinical evaluation of immunocontraceptive vaccines based on canine zona pellucida 3 (cZP3) in a mouse model.,/pubmed/29751768,"Wang Y, Li Y, Zhang B, Zhang F.",Reprod Biol Endocrinol. 2018 May 11;16(1):47. doi: 10.1186/s12958-018-0362-x.,Reprod Biol Endocrinol.  2018,PubMed,citation,PMID:29751768 | PMCID:PMC5948895,pubmed,29751768,create date:2018/05/13 | first author:Wang Y
Field Studies Evaluating Bait Acceptance and Handling by Free-Roaming Dogs in Thailand.,/pubmed/29734697,"Kasemsuwan S, Chanachai K, Pinyopummintr T, Leelalapongsathon K, Sujit K, Vos A.",Vet Sci. 2018 May 4;5(2). pii: E47. doi: 10.3390/vetsci5020047.,Vet Sci.  2018,PubMed,citation,PMID:29734697 | PMCID:PMC6024691,pubmed,29734697,create date:2018/05/08 | first author:Kasemsuwan S
Rabies Postexposure Prophylaxis Noncompletion After Dog Bites: Estimating the Unseen to Meet the Needs of the Underserved.,/pubmed/29020186,"Tarantola A, Blanchi S, Cappelle J, Ly S, Chan M, In S, Peng Y, Hing C, Taing CN, Ly S, Bourhy H, Buchy P, Dussart P, Mary JY.",Am J Epidemiol. 2018 Feb 1;187(2):306-315. doi: 10.1093/aje/kwx234.,Am J Epidemiol.  2018,PubMed,citation,PMID:29020186,pubmed,29020186,create date:2017/10/12 | first author:Tarantola A
"Dog ecology and its implications for rabies control in Gwagwalada, Federal Capital Territory, Abuja, Nigeria.",/pubmed/28782905,"Mshelbwala PP, Akinwolemiwa DK, Maikai BV, Otolorin RG, Maurice NA, Weese JS.",Zoonoses Public Health. 2018 Feb;65(1):168-176. doi: 10.1111/zph.12385. Epub 2017 Aug 7.,Zoonoses Public Health.  2018,PubMed,citation,PMID:28782905,pubmed,28782905,create date:2017/08/08 | first author:Mshelbwala PP
Vaccination of dogs in an African city interrupts rabies transmission and reduces human exposure.,/pubmed/29263230,"Zinsstag J, Lechenne M, Laager M, Mindekem R, NaÃ¯ssengar S, OussiguÃ©rÃ© A, Bidjeh K, Rives G, Tessier J, Madjaninan S, Ouagal M, Moto DD, Alfaroukh IO, Muthiani Y, TraorÃ© A, Hattendorf J, Lepelletier A, Kergoat L, Bourhy H, Dacheux L, Stadler T, Chitnis N.",Sci Transl Med. 2017 Dec 20;9(421). pii: eaaf6984. doi: 10.1126/scitranslmed.aaf6984.,Sci Transl Med.  2017,PubMed,citation,PMID:29263230,pubmed,29263230,create date:2017/12/22 | first author:Zinsstag J
"Cost-effectiveness of mass dog rabies vaccination strategies to reduce human health burden in Flores Island, Indonesia.",/pubmed/29079100,"Wera E, Mourits MCM, Hogeveen H.",Vaccine. 2017 Dec 4;35(48 Pt B):6727-6736. doi: 10.1016/j.vaccine.2017.10.009. Epub 2017 Oct 25.,Vaccine.  2017,PubMed,citation,PMID:29079100,pubmed,29079100,create date:2017/10/29 | first author:Wera E
"Cost-Effectiveness of Mass Dog Vaccination Campaigns against Rabies in Flores Island, Indonesia.",/pubmed/27878980,"Wera E, Mourits MCM, Siko MM, Hogeveen H.",Transbound Emerg Dis. 2017 Dec;64(6):1918-1928. doi: 10.1111/tbed.12590. Epub 2016 Nov 23.,Transbound Emerg Dis.  2017,PubMed,citation,PMID:27878980,pubmed,27878980,create date:2016/11/24 | first author:Wera E
Combining confocal and atomic force microscopy to quantify single-virus binding to mammalian cell surfaces.,/pubmed/28981124,"Newton R, Delguste M, Koehler M, Dumitru AC, Laskowski PR, MÃ_ller DJ, Alsteens D.",Nat Protoc. 2017 Nov;12(11):2275-2292. doi: 10.1038/nprot.2017.112. Epub 2017 Oct 5.,Nat Protoc.  2017,PubMed,citation,PMID:28981124,pubmed,28981124,create date:2017/10/06 | first author:Newton R
Evaluation of immune responses in dogs to oral rabies vaccine under field conditions.,/pubmed/29054727,"Smith TG, Millien M, Vos A, Fracciterne FA, Crowdis K, Chirodea C, Medley A, Chipman R, Qin Y, Blanton J, Wallace R.",Vaccine. 2017 Oct 17. pii: S0264-410X(17)31388-9. doi: 10.1016/j.vaccine.2017.09.096. [Epub ahead of print],Vaccine.  2017,PubMed,citation,PMID:29054727 | PMCID:PMC5904025,pubmed,29054727,create date:2017/10/22 | first author:Smith TG
Efficacy of rabies vaccines in dogs and cats and protection in a mouse model against European bat lyssavirus type 2.,/pubmed/28969696,"Nokireki T, Jakava-Viljanen M, Virtala AM, Sihvonen L.",Acta Vet Scand. 2017 Oct 2;59(1):64. doi: 10.1186/s13028-017-0332-x.,Acta Vet Scand.  2017,PubMed,citation,PMID:28969696 | PMCID:PMC5625686,pubmed,28969696,create date:2017/10/04 | first author:Nokireki T
Domestic dog roaming patterns in remote northern Australian indigenous communities and implications for disease modelling.,/pubmed/28992928,"Hudson EG, Brookes VJ, DÃ_rr S, Ward MP.",Prev Vet Med. 2017 Oct 1;146:52-60. doi: 10.1016/j.prevetmed.2017.07.010. Epub 2017 Jul 20.,Prev Vet Med.  2017,PubMed,citation,PMID:28992928,pubmed,28992928,create date:2017/10/11 | first author:Hudson EG
Risk assessment of the entry of canine-rabies into Papua New Guinea via sea and land routes.,/pubmed/28903875,"Brookes VJ, Keponge-Yombo A, Thomson D, Ward MP.",Prev Vet Med. 2017 Sep 15;145:49-66. doi: 10.1016/j.prevetmed.2017.06.011. Epub 2017 Jun 27.,Prev Vet Med.  2017,PubMed,citation,PMID:28903875,pubmed,28903875,create date:2017/09/15 | first author:Brookes VJ
"The Epidemiological Importance of Bats in the Transmission of Rabies to Dogs and Cats in the State of SÃ£o Paulo, Brazil, Between 2005 and 2014.",/pubmed/27863049,"Castilho JG, de Souza DN, Oliveira RN, Carnieli P Jr, Batista HBCR, Pereira PMC, Achkar SM, Macedo CI.",Zoonoses Public Health. 2017 Sep;64(6):423-430. doi: 10.1111/zph.12320. Epub 2016 Nov 12.,Zoonoses Public Health.  2017,PubMed,citation,PMID:27863049,pubmed,27863049,create date:2016/11/20 | first author:Castilho JG
Assessing the Risk of a Canine Rabies Incursion in Northern Australia.,/pubmed/28913341,"Hudson EG, Brookes VJ, Ward MP.",Front Vet Sci. 2017 Aug 31;4:141. doi: 10.3389/fvets.2017.00141. eCollection 2017.,Front Vet Sci.  2017,PubMed,citation,PMID:28913341 | PMCID:PMC5583209,pubmed,28913341,create date:2017/09/16 | first author:Hudson EG
"Time series analysis and mortality model of dog bite victims presented for treatment at a referral clinic for rabies exposure in Monrovia, Liberia, 2010-2013.",/pubmed/28760263,"Olarinmoye AO, Ojo JF, Fasunla AJ, Ishola OO, Dakinah FG, Mulbah CK, Al-Hezaimi K, Olugasa BO.",Spat Spatiotemporal Epidemiol. 2017 Aug;22:1-13. doi: 10.1016/j.sste.2017.04.003. Epub 2017 May 25.,Spat Spatiotemporal Epidemiol.  2017,PubMed,citation,PMID:28760263,pubmed,28760263,create date:2017/08/02 | first author:Olarinmoye AO
Rabies vaccine is associated with decreased all-cause mortality in dogs.,/pubmed/28602607,"Knobel DL, Arega S, Reininghaus B, Simpson GJG, Gessner BD, Stryhn H, Conan A.",Vaccine. 2017 Jul 5;35(31):3844-3849. doi: 10.1016/j.vaccine.2017.05.095. Epub 2017 Jun 9.,Vaccine.  2017,PubMed,citation,PMID:28602607,pubmed,28602607,create date:2017/06/13 | first author:Knobel DL
Spatiotemporal epidemic models for rabies among animals.,/pubmed/29928742,Ruan S.,Infect Dis Model. 2017 Jun 28;2(3):277-287. doi: 10.1016/j.idm.2017.06.001. eCollection 2017 Aug. Review.,Infect Dis Model.  2017,PubMed,citation,PMID:29928742 | PMCID:PMC6002072,pubmed,29928742,create date:2018/06/22 | first author:Ruan S
"Field Studies Evaluating Bait Acceptance and Handling by Dogs in Navajo Nation, USA.",/pubmed/30270876,"Bender S, Bergman D, Vos A, Martin A, Chipman R.",Trop Med Infect Dis. 2017 Jun 15;2(2). pii: E17. doi: 10.3390/tropicalmed2020017.,Trop Med Infect Dis.  2017,PubMed,citation,PMID:30270876 | PMCID:PMC6082073,pubmed,30270876,create date:2017/06/15 | first author:Bender S
"Cost-Effectiveness Evaluation of a Novel Integrated Bite Case Management Program for the Control of Human Rabies, Haiti 2014-2015.",/pubmed/28719253,"Undurraga EA, Meltzer MI, Tran CH, Atkins CY, Etheart MD, Millien MF, Adrien P, Wallace RM.",Am J Trop Med Hyg. 2017 Jun;96(6):1307-1317. doi: 10.4269/ajtmh.16-0785.,Am J Trop Med Hyg.  2017,PubMed,citation,PMID:28719253 | PMCID:PMC5462564,pubmed,28719253,create date:2017/07/19 | first author:Undurraga EA
"The impact of poverty on dog ownership and access to canine rabies vaccination: results from a knowledge, attitudes and practices survey, Uganda 2013.",/pubmed/28569185,"Wallace RM, Mehal J, Nakazawa Y, Recuenco S, Bakamutumaho B, Osinubi M, Tugumizemu V, Blanton JD, Gilbert A, Wamala J.",Infect Dis Poverty. 2017 Jun 1;6(1):97. doi: 10.1186/s40249-017-0306-2.,Infect Dis Poverty.  2017,PubMed,citation,PMID:28569185 | PMCID:PMC5452361,pubmed,28569185,create date:2017/06/02 | first author:Wallace RM
"Estimating the intra-cluster correlation coefficient for evaluating an educational intervention program to improve rabies awareness and dog bite prevention among children in Sikkim, India: A pilot study.",/pubmed/28040481,"Auplish A, Clarke AS, Van Zanten T, Abel K, Tham C, Bhutia TN, Wilks CR, Stevenson MA, Firestone SM.",Acta Trop. 2017 May;169:62-68. doi: 10.1016/j.actatropica.2016.12.032. Epub 2016 Dec 28.,Acta Trop.  2017,PubMed,citation,PMID:28040481,pubmed,28040481,create date:2017/01/04 | first author:Auplish A
Rabies Vaccination Targets for Stray Dog Populations.,/pubmed/28451589,"Leung T, Davis SA.",Front Vet Sci. 2017 Apr 13;4:52. doi: 10.3389/fvets.2017.00052. eCollection 2017.,Front Vet Sci.  2017,PubMed,citation,PMID:28451589 | PMCID:PMC5389970,pubmed,28451589,create date:2017/04/30 | first author:Leung T
Quantitative risk assessment of the introduction of rabies into Japan through the importation of dogs and cats worldwide.,/pubmed/28095930,"Kwan NC, Sugiura K, Hosoi Y, Yamada A, Snary EL.",Epidemiol Infect. 2017 Apr;145(6):1168-1182. doi: 10.1017/S0950268816002995. Epub 2017 Jan 18. Erratum in: Epidemiol Infect. 2018 Jul;146(10):1281. ,Epidemiol Infect.  2017,PubMed,citation,PMID:28095930,pubmed,28095930,create date:2017/01/18 | first author:Kwan NC
Modeling the transmission dynamics and control of rabies in China.,/pubmed/28188732,Ruan S.,Math Biosci. 2017 Apr;286:65-93. doi: 10.1016/j.mbs.2017.02.005. Epub 2017 Feb 8. Review.,Math Biosci.  2017,PubMed,citation,PMID:28188732,pubmed,28188732,create date:2017/02/12 | first author:Ruan S
Inactivated Recombinant Rabies Viruses Displaying Canine Distemper Virus Glycoproteins Induce Protective Immunity against Both Pathogens.,/pubmed/28148801,"da Fontoura Budaszewski R, Hudacek A, Sawatsky B, KrÃ_mer B, Yin X, Schnell MJ, von Messling V.",J Virol. 2017 Mar 29;91(8). pii: e02077-16. doi: 10.1128/JVI.02077-16. Print 2017 Apr 15.,J Virol.  2017,PubMed,citation,PMID:28148801 | PMCID:PMC5375678,pubmed,28148801,create date:2017/02/06 | first author:da Fontoura Budaszewski R
"Barriers to dog rabies vaccination during an urban rabies outbreak: Qualitative findings from Arequipa, Peru.",/pubmed/28306717,"Castillo-Neyra R, Brown J, Borrini K, Arevalo C, Levy MZ, Buttenheim A, Hunter GC, Becerra V, Behrman J, Paz-Soldan VA.",PLoS Negl Trop Dis. 2017 Mar 17;11(3):e0005460. doi: 10.1371/journal.pntd.0005460. eCollection 2017 Mar.,PLoS Negl Trop Dis.  2017,PubMed,citation,PMID:28306717 | PMCID:PMC5371379,pubmed,28306717,create date:2017/03/18 | first author:Castillo-Neyra R
